,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
24,Abyell,12:50.5,00:07.1,0:01,1:01,Mallets,#02,NAGASAKI Miyu,Side,B,BS,NAGAO TAKAKO,F,Flick,B,L,攻撃
25,Abyell,13:04.8,00:07.5,0:01,1:01,Mallets,#02,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Push,F,L,攻撃
29,Abyell,14:12.0,00:09.9,0:01,1:01,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Stop,BMS,R,攻撃
30,Abyell,14:33.4,00:06.1,0:01,1:01,Mallets,#02,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,BM,R,攻撃
33,Abyell,15:46.0,00:06.5,0:01,1:01,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,B,Chiquita,ネット,L,攻撃
34,Abyell,16:03.5,00:07.0,0:01,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,BS,NAGAO TAKAKO,F,Push,B,L,攻撃
37,Abyell,17:18.5,00:07.5,0:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Stop,BMS,R,攻撃
38,Abyell,17:37.5,00:06.3,0:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,B,R,攻撃
39,Abyell,19:22.1,00:05.7,1:01,1:01,Mallets,#02,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,Flick,F,R,攻撃
40,Abyell,19:39.3,00:07.7,1:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,B,R,攻撃
45,Abyell,21:34.1,00:07.1,1:01,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,FENG Tianwei,F,Stop,BMS,L,攻撃
46,Abyell,21:57.5,00:06.5,1:01,1:01,Mallets,#02,NAGASAKI Miyu,(Side),B,FS,FENG Tianwei,F,ドライブ,F,L,攻撃
49,Abyell,23:17.0,00:07.7,1:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,B,R,攻撃
